               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030375,            0.028997,           0.0044394,             0.85633,             0.69989,              0.7504,             0.49494,            0.026269,            0.016472,           0.0051887,            0.007543,            0.007543,            0.007543
                  37,            0.030523,            0.030013,           0.0041251,              0.9296,             0.72258,              0.7718,             0.49971,            0.025789,            0.016789,            0.004901,            0.007416,            0.007416,            0.007416
                  38,            0.030226,            0.028492,           0.0036903,             0.77313,             0.73333,             0.76939,             0.50231,             0.02649,            0.016879,            0.004333,           0.0072872,           0.0072872,           0.0072872
                  39,            0.029298,            0.027135,           0.0039617,             0.88207,             0.66277,             0.76827,             0.51535,            0.025527,            0.016739,           0.0043723,           0.0071566,           0.0071566,           0.0071566
                  40,            0.028076,            0.027657,           0.0034841,             0.92685,             0.71771,             0.78467,             0.52709,            0.025014,            0.016746,           0.0039159,           0.0070243,           0.0070243,           0.0070243
                  41,            0.027178,            0.027655,           0.0036809,              0.8076,             0.72142,             0.77024,             0.51109,            0.024414,            0.016969,           0.0040831,           0.0068906,           0.0068906,           0.0068906
                  42,            0.029163,            0.026695,            0.003563,             0.83375,             0.75232,             0.78717,             0.51606,            0.026533,            0.017195,           0.0035673,           0.0067555,           0.0067555,           0.0067555
                  43,            0.027948,            0.026081,           0.0034874,             0.90745,             0.71164,             0.78296,              0.5027,            0.025043,            0.017153,           0.0032403,           0.0066191,           0.0066191,           0.0066191
                  44,            0.027719,            0.027866,            0.003101,             0.95909,             0.66966,             0.74421,             0.48617,            0.025178,            0.017151,           0.0044064,           0.0064816,           0.0064816,           0.0064816
                  45,            0.026655,            0.026403,           0.0030891,             0.81376,             0.70331,              0.7702,             0.52335,            0.025104,            0.016818,            0.004107,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028133,            0.025973,           0.0030228,             0.80949,             0.74281,             0.77837,             0.51299,            0.024999,            0.016616,           0.0032672,            0.006204,            0.006204,            0.006204
                  47,            0.025955,            0.025645,            0.002954,             0.94707,             0.69809,             0.79036,             0.54498,            0.024731,            0.016781,            0.004202,            0.006064,            0.006064,            0.006064
                  48,            0.025582,            0.025794,           0.0030586,             0.89335,             0.69877,             0.77008,             0.51805,            0.024341,            0.016748,           0.0028036,           0.0059235,           0.0059235,           0.0059235
                  49,            0.026842,            0.027436,           0.0025856,             0.91454,             0.72361,             0.77465,             0.52542,            0.024776,            0.016581,           0.0037216,           0.0057826,           0.0057826,           0.0057826
                  50,            0.026303,            0.025276,           0.0025366,             0.75478,             0.74997,             0.76186,             0.51946,             0.02498,            0.016719,           0.0028924,           0.0056413,           0.0056413,           0.0056413
                  51,            0.026732,            0.025525,           0.0024925,              0.9195,             0.70636,             0.76451,             0.51341,            0.024926,            0.017175,           0.0027924,              0.0055,              0.0055,              0.0055
                  52,            0.026204,            0.026283,           0.0023796,             0.92171,             0.70948,             0.77272,             0.55559,             0.02311,            0.016803,           0.0034377,           0.0053587,           0.0053587,           0.0053587
                  53,            0.023686,            0.022743,            0.002152,             0.88039,             0.66581,             0.77039,             0.55208,            0.023774,            0.017088,           0.0028145,           0.0052174,           0.0052174,           0.0052174
